I found it hard to wind down,I tended to over-react to situations,I felt that I was using a lot of nervous energy,I found myself getting agitated,I found it difficult to relax,I was intolerant of anything that kept me from getting on with what I was doing,I felt that I was rather touchy,Result
Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
Applied to me to a considerable degree or a good part of time ,Applied to me to a considerable degree or a good part of time ,Applied to me to a considerable degree or a good part of time ,Applied to me to a considerable degree or a good part of time ,Applied to me to a considerable degree or a good part of time ,Applied to me to a considerable degree or a good part of time ,Applied to me to a considerable degree or a good part of time ,Yes
Applied to me very much or most of the time ,Applied to me very much or most of the time ,Applied to me very much or most of the time ,Applied to me very much or most of the time ,Applied to me very much or most of the time ,Applied to me very much or most of the time ,Applied to me very much or most of the time ,Yes
Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
Did not apply to me at all ,Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,"Applied to me to some degree, or some of the time ",No
Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time",Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degreeor a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,"Applied to me to some degree, or some of the time",Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very much or most of the time,Applied to me very much or most of the time,Applied to me very much or most of the time,Applied to me very much or most of the time,Applied to me very much or most of the time,Yes
"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very much or most of the time,Yes
"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very much or most of the time,Applied to me very much or most of the time,"Applied to me to some degree, or some of the time",Yes
"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Applied to me very much or most of the time,"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,"Applied to me to some degree, or some of the time",Yes
Did not apply to me at all ,Did not apply to me at all ,Did not apply to me at all ,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Yes
Did not apply to me at all ,Did not apply to me at all ,"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time",Applied to me very much or most of the time,Applied to me very muchor most of the time,Applied to me very muchor most of the time,"Applied to me to some degree, or some of the time",Applied to me very muchor most of the time,Applied to me very muchor most of the time,Yes
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ",Did not apply to me at all ,"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time",Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degree or a good part of time,Applied to me to a considerable degreeor a good part of time,Applied to me to a considerable degree or a good part of time,Yes
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
"Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ","Applied to me to some degree, or some of the time ",No
